
URN: urn:cts:latinLit:phi1348.abo017	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo016	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo015	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo014	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo013	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo022	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo021	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo012	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1348.abo011	 XML: 1999.02.0061.xml
URN: urn:cts:latinLit:phi1351.phi004	 XML: 1999.02.0079.xml
URN: urn:cts:latinLit:phi1351.phi005	 XML: 1999.02.0077.xml
URN: urn:cts:latinLit:phi1351.phi002	 XML: 2007.01.0090.xml
URN: urn:cts:latinLit:phi1351.phi003	 XML: 2007.01.0089.xml
URN: urn:cts:latinLit:phi1351.phi001	 XML: 1999.02.0084.xml
URN: urn:cts:greekLit:tlg2018.tlg002	 XML: 2008.01.0640.xml
URN: urn:cts:latinLit:phi1254.phi001	 XML: 2007.01.0071.xml
URN: urn:cts:latinLit:phi0474.phi017	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi018	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi019	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi013	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi014	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi015	 XML: 1999.02.0015.xml
URN: urn:cts:latinLit:phi0474.phi016	 XML: 1999.02.0015.xml
URN: urn:cts:latinLit:phi0474.phi010	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi011	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi012	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi008	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi009	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi006	 XML: 1999.02.0015.xml
URN: urn:cts:latinLit:phi0474.phi007	 XML: 1999.02.0015.xml
URN: urn:cts:latinLit:phi0474.phi004	 XML: 1999.02.0012.xml
URN: urn:cts:latinLit:phi0474.phi005	 XML: 1999.02.0012.xml
URN: urn:cts:latinLit:phi0474.phi002	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi003	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi001	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi072	 XML: 2008.01.0676.xml
URN: urn:cts:latinLit:phi0474.phi035	 XML: 1999.02.0011.xml
URN: urn:cts:latinLit:phi0474.phi036	 XML: 2008.01.0683.xml
URN: urn:cts:latinLit:phi0474.phi037	 XML: 1999.02.0120.xml
URN: urn:cts:latinLit:phi0474.phi038	 XML: 2008.01.0542.xml
URN: urn:cts:latinLit:phi0474.phi030	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi031	 XML: 1999.02.0011.xml
URN: urn:cts:latinLit:phi0474.phi032	 XML: 1999.02.0011.xml
URN: urn:cts:latinLit:phi0474.phi033	 XML: 1999.02.0011.xml
URN: urn:cts:latinLit:phi0474.phi034	 XML: 1999.02.0011.xml
